Name	Half-life (h)
Cln5	3.508089947
Cln6	5.589517378
Cln8	2.259951188
Clns1a	5.166722729
Clpb	5.063278577
Clpp	5.576690759
Clptm1l	2.728571144
Clspn	2.381991006
Clstn1	8.069188617
Clta	5.679611405
Cluap1	2.604861953
Cluh	3.033869172
Cmas	4.772473947
Cmip	3.058555606
Cmtm6	4.137985516
Cmtr1	5.074339625
Cnep1r1	1.660778994
Cnih4	4.548847741
Cnn3	6.156258641
Cnn3	3.674292029
Cnnm3	2.266943449
Cnot11	4.910391455
Cnot11	3.016827279
Cnot3	3.088986151
Cnot8	2.712258464
Cnot9	3.417297752
Cnpy2	4.664432183
Cnpy4	3.103759649
Coa7	3.338369013
Coasy	3.703195761
Cog2	2.019947749
Cog4	5.434522825
Coil	2.26085377
Col4a3bp	2.088043537
Colgalt1	4.191196208
Commd10	9.95886035
Commd3	7.15011845
Commd5	2.231601649
Commd9	1.289325359
Copa	10.35627905
Copb2	7.408363364
Cope	9.654742612
Copg1	6.275750706
Cops4	4.926009013
Cops6	10.52957849
Cops7b	6.653258916
Cops8	3.247386641
Copz1	5.16471137
Coq4	6.713318972
Coq5	2.244872509
Coro1b	4.364516753
Cox11	2.982311128
Cox14	7.201949621
Cox17	7.636177654
Cox5a	13.55672936
Cox5b	13.47262498
Cox7b	12.17286646
Cpox	3.745991908
Cpsf2	2.71199071
Cpsf2	3.243004025
Cpsf2	1.6624093
Cpsf3	8.29908416
Cpsf4	3.654288603
Cpsf7	2.121241544
Cpt1a	2.519378262
Crabp2	4.650166097
Crcp	2.950779981
Creb1	1.906870008
Crebzf	1.924259744
Creld2	5.351303175
Crip2	6.574522289
Cript	3.030765499
Crk	2.610018931
Crkl	2.686435845
Crls1	6.081574533
Crmp1	3.737066274
Cs	13.06397675
Cs	4.131754967
Csde1	5.681131563
Cse1l	4.925605312
Csnk1a1	3.453317869
Csnk1a1	1.977111814
Csnk1g2	4.895681113
Csnk1g3	2.243109336
Csnk2a1	5.126305112
Csrp1	7.801893566
Csrp2	5.549128864
Csrp2bp	1.756073726
